Galaxy,Number,L_HCN,E_L_HCN,L_HCO+,E_L_HCO+,L_IR,E_L_IR,Source,HCN Detected,HCO Detected
NGC1068,9,4.35E+06,7.40E+05,3.58E+06,5.00E+05,1.55E+10,960000000,MALTANG,1,1
NGC1068,10,3.29E+06,4.80E+05,2.13E+06,5.30E+05,2.02E+10,1250000000,MALTANG,1,1
NGC1068,11,1.41E+06,0.00E+00,1.33E+06,3.30E+05,9.03E+09,550000000,MALTANG,0,1
NGC1068,12,1.39E+06,0.00E+00,1.44E+06,4.70E+05,1.07E+10,660000000,MALTANG,0,1
NGC1068,13,2.66E+06,4.90E+05,1.88E+06,5.50E+05,8.74E+09,540000000,MALTANG,1,1
NGC1068,14,1.87E+06,0.00E+00,2.43E+06,5.00E+05,3.20E+09,200000000,MALTANG,0,1
NGC1068,15,1.97E+06,0.00E+00,2.84E+06,9.50E+05,4.67E+09,300000000,MALTANG,0,1
IC342,1,2.00E+05,2.00E+04,2.70E+05,2.00E+04,1.90E+09,110000000,MALTANG,1,1
IC342,2,1.20E+05,2.00E+04,6.00E+04,2.00E+04,8.50E+08,50000000,MALTANG,1,1
IC342,3,9.00E+04,2.00E+04,1.20E+05,2.00E+04,8.70E+08,50000000,MALTANG,1,1
